driver_key,date,value
freight_index,2026-04-01,96.2398
freight_index,2026-05-01,91.6179
freight_index,2026-06-01,87.0263
freight_index,2026-07-01,87.7141
freight_index,2026-08-01,93.3421
fx_index,2021-09-01,100.0
fx_index,2021-10-01,100.29
fx_index,2021-11-01,100.1617
fx_index,2021-12-01,100.6412
fx_index,2022-01-01,102.6631
fx_index,2022-02-01,103.0522
fx_index,2022-03-01,102.4685
fx_index,2022-04-01,104.2202
fx_index,2022-05-01,104.9426
fx_index,2022-06-01,107.4125
fx_index,2022-07-01,107.7615
fx_index,2022-08-01,105.8361
fx_index,2022-09-01,103.717
fx_index,2022-10-01,106.3373
fx_index,2022-11-01,109.1398
fx_index,2022-12-01,108.9005
fx_index,2023-01-01,108.329
fx_index,2023-02-01,110.7579
fx_index,2023-03-01,108.9741
fx_index,2023-04-01,107.566
fx_index,2023-05-01,108.6578
fx_index,2023-06-01,108.069
fx_index,2023-07-01,108.1147
fx_index,2023-08-01,107.9037
fx_index,2023-09-01,108.5041
fx_index,2023-10-01,110.8491
fx_index,2023-11-01,111.0551
fx_index,2023-12-01,112.1833
fx_index,2024-01-01,108.7895
fx_index,2024-02-01,108.7644
fx_index,2024-03-01,107.4431
fx_index,2024-04-01,105.5325
fx_index,2024-05-01,104.1952
fx_index,2024-06-01,103.7251
fx_index,2024-07-01,105.2019
fx_index,2024-08-01,103.1615
fx_index,2024-09-01,103.2604
fx_index,2024-10-01,102.5621
fx_index,2024-11-01,102.1093
fx_index,2024-12-01,103.6962
fx_index,2025-01-01,104.5851
fx_index,2025-02-01,106.7355
fx_index,2025-03-01,106.5415
fx_index,2025-04-01,105.4825
fx_index,2025-05-01,105.1811
fx_index,2025-06-01,105.6163
fx_index,2025-07-01,105.9488
fx_index,2025-08-01,104.2784
fx_index,2025-09-01,104.4721
fx_index,2025-10-01,104.882
fx_index,2025-11-01,108.895
fx_index,2025-12-01,112.0151
fx_index,2026-01-01,110.6375
fx_index,2026-02-01,110.2159
fx_index,2026-03-01,107.8516
fx_index,2026-04-01,106.9499
fx_index,2026-05-01,107.5097
fx_index,2026-06-01,109.508
fx_index,2026-07-01,108.3652
fx_index,2026-08-01,107.3561
chemical_feedstock_index,2021-09-01,100.0
chemical_feedstock_index,2021-10-01,93.7581
chemical_feedstock_index,2021-11-01,93.4881
chemical_feedstock_index,2021-12-01,90.6954
chemical_feedstock_index,2022-01-01,89.4363
chemical_feedstock_index,2022-02-01,87.2624
chemical_feedstock_index,2022-03-01,87.1902
chemical_feedstock_index,2022-04-01,82.7669
chemical_feedstock_index,2022-05-01,79.2897
chemical_feedstock_index,2022-06-01,84.5131
chemical_feedstock_index,2022-07-01,81.418
chemical_feedstock_index,2022-08-01,78.9019
chemical_feedstock_index,2022-09-01,83.4078
chemical_feedstock_index,2022-10-01,90.8438
chemical_feedstock_index,2022-11-01,87.8326
chemical_feedstock_index,2022-12-01,87.0379
chemical_feedstock_index,2023-01-01,88.1038
chemical_feedstock_index,2023-02-01,92.8492
chemical_feedstock_index,2023-03-01,90.286
chemical_feedstock_index,2023-04-01,89.8022
chemical_feedstock_index,2023-05-01,92.076
chemical_feedstock_index,2023-06-01,93.4611
chemical_feedstock_index,2023-07-01,92.5934
chemical_feedstock_index,2023-08-01,92.4068
chemical_feedstock_index,2023-09-01,88.7802
chemical_feedstock_index,2023-10-01,88.3234
chemical_feedstock_index,2023-11-01,87.7942
chemical_feedstock_index,2023-12-01,88.5813
chemical_feedstock_index,2024-01-01,87.2827
chemical_feedstock_index,2024-02-01,88.6919
chemical_feedstock_index,2024-03-01,91.5639
chemical_feedstock_index,2024-04-01,92.174
chemical_feedstock_index,2024-05-01,93.331
chemical_feedstock_index,2024-06-01,93.6665
chemical_feedstock_index,2024-07-01,93.8541
chemical_feedstock_index,2024-08-01,92.0102
chemical_feedstock_index,2024-09-01,93.0678
chemical_feedstock_index,2024-10-01,92.9823
chemical_feedstock_index,2024-11-01,99.0071
chemical_feedstock_index,2024-12-01,103.8783
chemical_feedstock_index,2025-01-01,105.2885
chemical_feedstock_index,2025-02-01,103.0889
chemical_feedstock_index,2025-03-01,99.8547
chemical_feedstock_index,2025-04-01,103.6227
chemical_feedstock_index,2025-05-01,104.6467
chemical_feedstock_index,2025-06-01,106.3634
chemical_feedstock_index,2025-07-01,101.0093
chemical_feedstock_index,2025-08-01,104.0217
chemical_feedstock_index,2025-09-01,105.6478
chemical_feedstock_index,2025-10-01,102.3397
chemical_feedstock_index,2025-11-01,101.0967
chemical_feedstock_index,2025-12-01,102.0987
chemical_feedstock_index,2026-01-01,102.4636
chemical_feedstock_index,2026-02-01,101.7705
chemical_feedstock_index,2026-03-01,101.658
chemical_feedstock_index,2026-04-01,101.0929
chemical_feedstock_index,2026-05-01,101.7578
chemical_feedstock_index,2026-06-01,106.4533
chemical_feedstock_index,2026-07-01,98.4694
chemical_feedstock_index,2026-08-01,97.9666
copper_lme_index,2021-09-01,100.0
copper_lme_index,2021-10-01,100.9678
copper_lme_index,2021-11-01,102.3672
copper_lme_index,2021-12-01,101.393
copper_lme_index,2022-01-01,95.5137
copper_lme_index,2022-02-01,96.9444
copper_lme_index,2022-03-01,103.1447
copper_lme_index,2022-04-01,97.9684
copper_lme_index,2022-05-01,101.2733
copper_lme_index,2022-06-01,100.4632
copper_lme_index,2022-07-01,100.5992
copper_lme_index,2022-08-01,97.2441
copper_lme_index,2022-09-01,96.4461
copper_lme_index,2022-10-01,101.1721
copper_lme_index,2022-11-01,103.5894
copper_lme_index,2022-12-01,110.2327
copper_lme_index,2023-01-01,115.1612
copper_lme_index,2023-02-01,117.334
copper_lme_index,2023-03-01,124.9065
copper_lme_index,2023-04-01,127.2628
copper_lme_index,2023-05-01,131.3963
copper_lme_index,2023-06-01,130.4923
copper_lme_index,2023-07-01,131.2529
copper_lme_index,2023-08-01,128.5084
copper_lme_index,2023-09-01,133.4092
copper_lme_index,2023-10-01,128.3742
copper_lme_index,2023-11-01,132.3387
copper_lme_index,2023-12-01,131.9188
copper_lme_index,2024-01-01,137.7884
copper_lme_index,2024-02-01,141.8918
copper_lme_index,2024-03-01,151.4301
copper_lme_index,2024-04-01,155.8333
copper_lme_index,2024-05-01,147.8045
copper_lme_index,2024-06-01,147.9755
copper_lme_index,2024-07-01,142.4234
copper_lme_index,2024-08-01,140.3383
copper_lme_index,2024-09-01,148.2524
copper_lme_index,2024-10-01,152.0794
copper_lme_index,2024-11-01,148.8914
copper_lme_index,2024-12-01,144.1298
copper_lme_index,2025-01-01,144.7997
copper_lme_index,2025-02-01,139.141
copper_lme_index,2025-03-01,136.3595
copper_lme_index,2025-04-01,138.3259
copper_lme_index,2025-05-01,144.4034
copper_lme_index,2025-06-01,147.9855
copper_lme_index,2025-07-01,136.6358
copper_lme_index,2025-08-01,138.5695
copper_lme_index,2025-09-01,139.4039
copper_lme_index,2025-10-01,141.9112
copper_lme_index,2025-11-01,150.4355
copper_lme_index,2025-12-01,140.0985
copper_lme_index,2026-01-01,137.6904
copper_lme_index,2026-02-01,141.02
copper_lme_index,2026-03-01,133.7073
copper_lme_index,2026-04-01,141.0824
copper_lme_index,2026-05-01,143.3951
copper_lme_index,2026-06-01,148.1458
copper_lme_index,2026-07-01,145.7039
copper_lme_index,2026-08-01,150.3638
specialty_polymer_feedstock_index,2021-09-01,100.0
specialty_polymer_feedstock_index,2021-10-01,105.6424
specialty_polymer_feedstock_index,2021-11-01,107.1894
specialty_polymer_feedstock_index,2021-12-01,108.7672
specialty_polymer_feedstock_index,2022-01-01,110.5637
specialty_polymer_feedstock_index,2022-02-01,106.1227
specialty_polymer_feedstock_index,2022-03-01,105.6583
specialty_polymer_feedstock_index,2022-04-01,105.1695
specialty_polymer_feedstock_index,2022-05-01,107.501
specialty_polymer_feedstock_index,2022-06-01,113.1976
specialty_polymer_feedstock_index,2022-07-01,107.5461
specialty_polymer_feedstock_index,2022-08-01,107.1965
specialty_polymer_feedstock_index,2022-09-01,115.4584
specialty_polymer_feedstock_index,2022-10-01,111.5121
specialty_polymer_feedstock_index,2022-11-01,107.2621
specialty_polymer_feedstock_index,2022-12-01,108.6689
specialty_polymer_feedstock_index,2023-01-01,113.5828
specialty_polymer_feedstock_index,2023-02-01,113.9884
specialty_polymer_feedstock_index,2023-03-01,121.9047
specialty_polymer_feedstock_index,2023-04-01,127.4928
specialty_polymer_feedstock_index,2023-05-01,133.2416
specialty_polymer_feedstock_index,2023-06-01,137.3329
specialty_polymer_feedstock_index,2023-07-01,153.728
specialty_polymer_feedstock_index,2023-08-01,152.6123
specialty_polymer_feedstock_index,2023-09-01,137.782
specialty_polymer_feedstock_index,2023-10-01,149.2472
specialty_polymer_feedstock_index,2023-11-01,146.2794
specialty_polymer_feedstock_index,2023-12-01,147.5073
specialty_polymer_feedstock_index,2024-01-01,157.6082
specialty_polymer_feedstock_index,2024-02-01,145.4546
specialty_polymer_feedstock_index,2024-03-01,136.7881
specialty_polymer_feedstock_index,2024-04-01,126.2466
specialty_polymer_feedstock_index,2024-05-01,121.6125
specialty_polymer_feedstock_index,2024-06-01,124.6506
specialty_polymer_feedstock_index,2024-07-01,128.2916
specialty_polymer_feedstock_index,2024-08-01,130.4487
specialty_polymer_feedstock_index,2024-09-01,121.6253
specialty_polymer_feedstock_index,2024-10-01,107.9419
specialty_polymer_feedstock_index,2024-11-01,108.559
specialty_polymer_feedstock_index,2024-12-01,106.3239
specialty_polymer_feedstock_index,2025-01-01,109.0851
specialty_polymer_feedstock_index,2025-02-01,113.241
specialty_polymer_feedstock_index,2025-03-01,114.3634
specialty_polymer_feedstock_index,2025-04-01,119.0531
specialty_polymer_feedstock_index,2025-05-01,120.7747
specialty_polymer_feedstock_index,2025-06-01,124.3379
specialty_polymer_feedstock_index,2025-07-01,120.33
specialty_polymer_feedstock_index,2025-08-01,119.6104
specialty_polymer_feedstock_index,2025-09-01,121.1461
specialty_polymer_feedstock_index,2025-10-01,126.4797
specialty_polymer_feedstock_index,2025-11-01,124.3691
specialty_polymer_feedstock_index,2025-12-01,127.9831
specialty_polymer_feedstock_index,2026-01-01,126.6659
specialty_polymer_feedstock_index,2026-02-01,126.3014
specialty_polymer_feedstock_index,2026-03-01,131.9188
specialty_polymer_feedstock_index,2026-04-01,119.1685
specialty_polymer_feedstock_index,2026-05-01,111.801
specialty_polymer_feedstock_index,2026-06-01,103.851
specialty_polymer_feedstock_index,2026-07-01,92.0451
specialty_polymer_feedstock_index,2026-08-01,89.1997
